,hhid,year,region,work10t12,work13t15,work16t18,uct,femaleh,satth,hhsize,f0t6,m0t6,f7t12,m7t12,f13t15,f16t18,f19t60,m13t15,m16t18,m19t60,f61,m61,quint,rural,treatement,pretreatment,posttreatment,treated,ptreat
18,120106004211.0,2005,Sumatra,0.0,0.0,1.0,0,Male,Primary,11,0.18181819,0.18181819,0.09090909,0.0,0.0,0.0,0.27272728,0.0,0.09090909,0.18181819,0.0,0.0,Quintile 1 (poorest),Rural,1.0,1.0,0.0,1.0,0.30472067
19,120106004211.0,2006,Sumatra,0.0,0.0,0.0,1,Male,Junior secondary,6,0.0,0.33333334,0.16666667,0.16666667,0.0,0.0,0.16666667,0.0,0.0,0.16666667,0.0,0.0,Quintile 1 (poorest),Rural,1.0,0.0,1.0,1.0,0.40015498
20,120106004212.0,2005,Sumatra,0.0,0.0,1.0,0,Male,No education completed,7,0.0,0.0,0.0,0.0,0.14285715,0.0,0.2857143,0.0,0.14285715,0.42857143,0.0,0.0,Quintile 1 (poorest),Rural,1.0,1.0,0.0,1.0,0.46668705
21,120106004212.0,2006,Sumatra,0.0,0.0,1.0,1,Male,No education completed,7,0.0,0.0,0.0,0.0,0.14285715,0.0,0.2857143,0.0,0.14285715,0.42857143,0.0,0.0,Quintile 1 (poorest),Rural,1.0,0.0,1.0,1.0,0.46668705
22,120106004216.0,2005,Sumatra,0.0,0.0,0.0,0,Male,Primary,2,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,Quintile 3,Rural,1.0,1.0,0.0,1.0,0.25801724
23,120106004216.0,2006,Sumatra,0.0,0.0,0.0,1,Male,Primary,2,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,Quintile 1 (poorest),Rural,1.0,0.0,1.0,1.0,0.46503457
24,120116002905.0,2005,Sumatra,0.0,0.0,0.0,0,Male,Primary,10,0.0,0.0,0.0,0.0,0.1,0.1,0.5,0.0,0.1,0.2,0.0,0.0,Quintile 1 (poorest),Rural,0.0,1.0,0.0,0.0,0.27565327
25,120116002905.0,2006,Sumatra,0.0,0.0,0.0,0,Male,Primary,6,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333,0.0,0.0,0.16666667,0.0,0.0,Quintile 1 (poorest),Rural,0.0,0.0,1.0,0.0,0.33646345
26,120116002908.0,2005,Sumatra,0.0,0.0,0.0,0,Male,No education completed,5,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.4,0.2,0.2,Quintile 1 (poorest),Rural,1.0,1.0,0.0,1.0,0.537912
27,120116002908.0,2006,Sumatra,0.0,0.0,0.0,1,Male,No education completed,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.2,0.2,Quintile 1 (poorest),Rural,1.0,0.0,1.0,1.0,0.5511183
28,120116002912.0,2005,Sumatra,0.0,0.0,1.0,0,Male,No education completed,4,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.0,0.0,0.0,0.25,Quintile 1 (poorest),Rural,1.0,1.0,0.0,1.0,0.55867606
29,120116002912.0,2006,Sumatra,0.0,0.0,1.0,1,Male,No education completed,4,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.25,0.0,0.0,0.25,Quintile 2,Rural,1.0,0.0,1.0,1.0,0.40115494
30,120116002913.0,2005,Sumatra,0.0,0.0,0.0,0,Male,Primary,7,0.0,0.14285715,0.0,0.2857143,0.0,0.0,0.14285715,0.0,0.14285715,0.2857143,0.0,0.0,Quintile 1 (poorest),Rural,1.0,1.0,0.0,1.0,0.41335952
31,120116002913.0,2006,Sumatra,0.0,0.0,0.0,1,Male,Primary,5,0.0,0.2,0.0,0.4,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,Quintile 1 (poorest),Rural,1.0,0.0,1.0,1.0,0.48672077
32,120116002915.0,2005,Sumatra,0.0,0.0,0.0,0,Male,Primary,7,0.0,0.0,0.14285715,0.0,0.0,0.14285715,0.5714286,0.0,0.0,0.14285715,0.0,0.0,Quintile 1 (poorest),Rural,0.0,1.0,0.0,0.0,0.34807822
33,120116002915.0,2006,Sumatra,0.0,0.5,0.0,0,Male,Primary,4,0.0,0.0,0.0,0.0,0.5,0.0,0.25,0.0,0.0,0.25,0.0,0.0,Quintile 4,Rural,0.0,0.0,1.0,0.0,0.18109454
34,120116002916.0,2005,Sumatra,0.0,0.0,1.0,0,Male,Primary,6,0.0,0.0,0.0,0.33333334,0.16666667,0.16666667,0.16666667,0.0,0.0,0.16666667,0.0,0.0,Quintile 1 (poorest),Rural,0.0,1.0,0.0,0.0,0.44852757
35,120116002916.0,2006,Sumatra,0.0,0.0,0.0,0,Male,Primary,6,0.0,0.16666667,0.16666667,0.33333334,0.16666667,0.0,0.16666667,0.0,0.0,0.16666667,0.0,0.0,Quintile 1 (poorest),Rural,0.0,0.0,1.0,0.0,0.48154816
36,120205003701.0,2005,Sumatra,0.0,0.0,0.5,0,Male,Primary,5,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.4,0.0,0.0,Quintile 2,Urban,0.0,1.0,0.0,0.0,0.26965806
37,120205003701.0,2006,Sumatra,0.0,0.0,0.5,0,Male,Primary,5,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.0,0.2,0.2,0.0,0.0,Quintile 2,Urban,0.0,0.0,1.0,0.0,0.29090053
38,120205003703.0,2005,Sumatra,0.0,0.0,0.0,0,Male,Primary,3,0.0,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0,0.0,0.6666667,0.0,0.0,Quintile 5 (richest),Urban,0.0,1.0,0.0,0.0,0.0609533
39,120205003703.0,2006,Sumatra,0.0,0.0,0.0,0,Male,Junior secondary,3,0.0,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0,0.0,0.6666667,0.0,0.0,Quintile 5 (richest),Urban,0.0,0.0,1.0,0.0,0.043037057
40,120205003704.0,2005,Sumatra,0.0,0.0,0.0,0,Male,Senior secondary,7,0.2857143,0.14285715,0.14285715,0.14285715,0.0,0.0,0.14285715,0.0,0.0,0.14285715,0.0,0.0,Quintile 5 (richest),Urban,0.0,1.0,0.0,0.0,0.019957844
41,120205003704.0,2006,Sumatra,0.0,0.0,0.0,0,Male,Senior secondary,7,0.2857143,0.14285715,0.14285715,0.2857143,0.0,0.0,0.14285715,0.0,0.0,0.14285715,0.0,0.0,Quintile 4,Urban,0.0,0.0,1.0,0.0,0.06843646
42,120205003705.0,2005,Sumatra,0.0,0.0,1.0,0,Male,Primary,6,0.0,0.0,0.0,0.16666667,0.0,0.0,0.33333334,0.0,0.33333334,0.0,0.0,0.16666667,Quintile 4,Urban,0.0,1.0,0.0,0.0,0.12331569
43,120205003705.0,2006,Sumatra,0.0,0.0,0.0,0,Male,Primary,4,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.25,0.0,0.25,Quintile 4,Urban,0.0,0.0,1.0,0.0,0.13593705
44,120205003708.0,2005,Sumatra,0.0,0.0,0.0,0,Male,Senior secondary,7,0.0,0.14285715,0.0,0.2857143,0.14285715,0.14285715,0.14285715,0.0,0.0,0.14285715,0.0,0.0,Quintile 2,Urban,1.0,1.0,0.0,1.0,0.14052983
45,120205003708.0,2006,Sumatra,0.0,0.0,1.0,1,Male,Junior secondary,7,0.0,0.14285715,0.0,0.2857143,0.14285715,0.14285715,0.14285715,0.0,0.0,0.14285715,0.0,0.0,Quintile 2,Urban,1.0,0.0,1.0,1.0,0.2272031
46,120205003709.0,2005,Sumatra,0.0,0.0,0.0,0,Male,Primary,3,0.0,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0,0.0,0.33333334,0.0,0.33333334,Quintile 5 (richest),Urban,0.0,1.0,0.0,0.0,0.06756428
47,120205003709.0,2006,Sumatra,0.0,0.0,0.0,0,Male,Senior secondary,3,0.0,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0,0.0,0.33333334,0.0,0.33333334,Quintile 5 (richest),Urban,0.0,0.0,1.0,0.0,0.02309281
48,120205003710.0,2005,Sumatra,0.0,0.0,0.0,0,Male,Primary,7,0.0,0.14285715,0.2857143,0.0,0.0,0.0,0.2857143,0.0,0.0,0.14285715,0.14285715,0.0,Quintile 3,Urban,0.0,1.0,0.0,0.0,0.18517949
49,120205003710.0,2006,Sumatra,0.0,0.0,0.0,0,Male,Primary,4,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.25,0.0,0.0,Quintile 3,Urban,0.0,0.0,1.0,0.0,0.2581106
50,120205003713.0,2005,Sumatra,0.0,0.0,0.0,0,Male,Primary,3,0.0,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0,0.0,0.33333334,0.33333334,0.0,Quintile 4,Urban,0.0,1.0,0.0,0.0,0.1617115
51,120205003713.0,2006,Sumatra,0.0,0.0,0.0,0,Male,Primary,3,0.0,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0,0.0,0.33333334,0.33333334,0.0,Quintile 4,Urban,0.0,0.0,1.0,0.0,0.1617115
52,120205003714.0,2005,Sumatra,0.0,0.0,1.0,0,Male,Primary,4,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.5,0.0,0.0,Quintile 4,Urban,0.0,1.0,0.0,0.0,0.14921401
53,120205003714.0,2006,Sumatra,0.0,0.0,0.0,0,Male,Primary,4,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,Quintile 4,Urban,0.0,0.0,1.0,0.0,0.12751076
54,120205003715.0,2005,Sumatra,0.0,0.0,0.0,0,Male,Senior secondary,4,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,Quintile 3,Urban,0.0,1.0,0.0,0.0,0.12913671
55,120205003715.0,2006,Sumatra,0.0,0.0,0.0,0,Male,Junior secondary,3,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0,0.0,0.33333334,0.0,0.0,Quintile 4,Urban,0.0,0.0,1.0,0.0,0.1385844
56,120205003716.0,2005,Sumatra,0.0,0.0,0.0,0,Male,Primary,7,0.0,0.0,0.14285715,0.14285715,0.0,0.14285715,0.42857143,0.0,0.0,0.14285715,0.0,0.0,Quintile 3,Urban,1.0,1.0,0.0,1.0,0.17038119
57,120205003716.0,2006,Sumatra,0.0,0.0,0.0,1,Male,Primary,7,0.0,0.0,0.14285715,0.0,0.0,0.14285715,0.42857143,0.14285715,0.0,0.14285715,0.0,0.0,Quintile 2,Urban,1.0,0.0,1.0,1.0,0.21462151
58,120301105002.0,2005,Sumatra,0.0,0.0,0.0,0,Male,Primary,5,0.0,0.2,0.0,0.2,0.2,0.0,0.2,0.2,0.0,0.2,0.0,0.0,Quintile 4,Rural,0.0,1.0,0.0,0.0,0.19081378
59,120301105002.0,2006,Sumatra,0.0,0.0,0.0,0,Male,Primary,6,0.0,0.16666667,0.0,0.16666667,0.16666667,0.0,0.16666667,0.0,0.16666667,0.16666667,0.0,0.0,Quintile 3,Rural,0.0,0.0,1.0,0.0,0.24120551
60,120301105004.0,2005,Sumatra,0.0,0.0,0.0,0,Female,No education completed,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Quintile 3,Rural,1.0,1.0,0.0,1.0,0.61721665
61,120301105004.0,2006,Sumatra,0.0,0.0,0.0,1,Female,No education completed,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Quintile 3,Rural,1.0,0.0,1.0,1.0,0.48870054
62,120301105006.0,2005,Sumatra,0.0,0.0,0.0,0,Male,Primary,5,0.2,0.0,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,Quintile 2,Rural,1.0,1.0,0.0,1.0,0.33550778
63,120301105006.0,2006,Sumatra,0.0,0.0,0.0,1,Male,Primary,5,0.2,0.0,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.0,Quintile 1 (poorest),Rural,1.0,0.0,1.0,1.0,0.44319415
64,120301105007.0,2005,Sumatra,0.0,0.0,0.0,0,Male,Primary,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,Quintile 2,Rural,0.0,1.0,0.0,0.0,0.42228198
65,120301105007.0,2006,Sumatra,0.0,0.0,0.0,0,Male,No education completed,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,Quintile 3,Rural,0.0,0.0,1.0,0.0,0.44878802
66,120301105008.0,2005,Sumatra,0.0,0.0,0.0,0,Male,No education completed,4,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,Quintile 4,Rural,0.0,1.0,0.0,0.0,0.3060145
67,120301105008.0,2006,Sumatra,0.0,0.0,0.0,0,Male,Primary,4,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,Quintile 4,Rural,0.0,0.0,1.0,0.0,0.21601807
68,120301105009.0,2005,Sumatra,0.0,0.5,1.0,0,Male,No education completed,10,0.2,0.1,0.2,0.0,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.0,Quintile 1 (poorest),Rural,1.0,1.0,0.0,1.0,0.45865533
69,120301105009.0,2006,Sumatra,0.0,0.0,0.0,1,Male,Primary,10,0.2,0.1,0.2,0.0,0.1,0.2,0.1,0.1,0.0,0.1,0.0,0.0,Quintile 1 (poorest),Rural,1.0,0.0,1.0,1.0,0.3637442
70,120301105012.0,2005,Sumatra,0.0,0.0,0.0,0,Female,No education completed,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Quintile 5 (richest),Rural,0.0,1.0,0.0,0.0,0.20769927
71,120301105012.0,2006,Sumatra,0.0,0.0,0.0,0,Female,Primary,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Quintile 5 (richest),Rural,0.0,0.0,1.0,0.0,0.137205
72,120301105014.0,2005,Sumatra,0.0,0.0,0.0,0,Male,Senior secondary,7,0.2857143,0.14285715,0.14285715,0.0,0.0,0.0,0.14285715,0.0,0.0,0.14285715,0.14285715,0.0,Quintile 1 (poorest),Rural,0.0,1.0,0.0,0.0,0.25471425
73,120301105014.0,2006,Sumatra,0.0,0.0,0.0,0,Male,Senior secondary,6,0.16666667,0.16666667,0.33333334,0.0,0.0,0.0,0.16666667,0.0,0.0,0.16666667,0.0,0.0,Quintile 2,Rural,0.0,0.0,1.0,0.0,0.16666302
74,120301105015.0,2005,Sumatra,0.0,0.0,0.0,0,Male,Primary,5,0.0,0.2,0.0,0.6,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,Quintile 2,Rural,1.0,1.0,0.0,1.0,0.38270992
75,120301105015.0,2006,Sumatra,0.0,0.0,0.0,1,Male,Primary,6,0.0,0.0,0.0,0.5,0.16666667,0.0,0.16666667,0.0,0.0,0.16666667,0.0,0.0,Quintile 2,Rural,1.0,0.0,1.0,1.0,0.32090202
76,120311007701.0,2005,Sumatra,0.0,0.0,1.0,0,Female,Junior secondary,2,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,Quintile 3,Rural,0.0,1.0,0.0,0.0,0.36340162
77,120311007701.0,2006,Sumatra,0.0,0.0,0.0,0,Female,Junior secondary,2,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,Quintile 4,Rural,0.0,0.0,1.0,0.0,0.26453495
78,120311007703.0,2005,Sumatra,0.0,0.0,0.0,0,Male,Senior secondary,6,0.16666667,0.0,0.0,0.5,0.0,0.0,0.16666667,0.0,0.0,0.16666667,0.0,0.0,Quintile 2,Rural,0.0,1.0,0.0,0.0,0.17321658
79,120311007703.0,2006,Sumatra,0.0,0.0,0.0,0,Male,Senior secondary,6,0.16666667,0.0,0.33333334,0.33333334,0.0,0.0,0.16666667,0.0,0.0,0.16666667,0.0,0.0,Quintile 1 (poorest),Rural,0.0,0.0,1.0,0.0,0.2856872
80,120311007705.0,2005,Sumatra,0.0,1.0,0.0,0,Male,Primary,5,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.2,0.2,Quintile 2,Rural,0.0,1.0,0.0,0.0,0.29479966
81,120311007705.0,2006,Sumatra,0.0,0.0,0.0,0,Male,Primary,5,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.2,0.2,Quintile 2,Rural,0.0,0.0,1.0,0.0,0.29479966
82,120311007706.0,2005,Sumatra,0.0,0.0,0.0,0,Female,Primary,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Quintile 3,Rural,0.0,1.0,0.0,0.0,0.50783706
83,120311007706.0,2006,Sumatra,0.0,0.0,0.0,0,Female,No education completed,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Quintile 2,Rural,0.0,0.0,1.0,0.0,0.69475585
84,120311007707.0,2005,Sumatra,0.0,0.0,1.0,0,Male,Primary,7,0.0,0.0,0.0,0.14285715,0.14285715,0.14285715,0.14285715,0.0,0.14285715,0.2857143,0.0,0.0,Quintile 2,Rural,0.0,1.0,0.0,0.0,0.27048773
85,120311007707.0,2006,Sumatra,0.0,0.0,0.0,0,Male,Senior secondary,5,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.2,0.0,0.0,Quintile 3,Rural,0.0,0.0,1.0,0.0,0.12441513
86,120311007711.0,2005,Sumatra,0.0,0.0,0.0,0,Female,Junior secondary,2,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,Quintile 2,Rural,0.0,1.0,0.0,0.0,0.43512538
87,120311007711.0,2006,Sumatra,0.0,0.0,0.0,0,Female,Primary,2,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,Quintile 3,Rural,0.0,0.0,1.0,0.0,0.42967886
88,120311007713.0,2005,Sumatra,0.0,1.0,1.0,0,Male,Primary,9,0.0,0.11111111,0.11111111,0.22222222,0.0,0.11111111,0.11111111,0.22222222,0.0,0.11111111,0.0,0.0,Quintile 1 (poorest),Rural,1.0,1.0,0.0,1.0,0.36183172
89,120311007713.0,2006,Sumatra,0.0,0.0,0.0,1,Male,Junior secondary,7,0.0,0.0,0.14285715,0.2857143,0.0,0.0,0.14285715,0.0,0.2857143,0.14285715,0.0,0.0,Quintile 1 (poorest),Rural,1.0,0.0,1.0,1.0,0.33707914
90,120311007714.0,2005,Sumatra,0.0,0.0,1.0,0,Male,Junior secondary,6,0.0,0.16666667,0.0,0.0,0.0,0.0,0.33333334,0.0,0.16666667,0.33333334,0.0,0.0,Quintile 2,Rural,0.0,1.0,0.0,0.0,0.21771613
91,120311007714.0,2006,Sumatra,0.0,0.0,0.0,0,Male,Junior secondary,7,0.14285715,0.14285715,0.0,0.0,0.0,0.0,0.2857143,0.0,0.0,0.42857143,0.0,0.0,Quintile 1 (poorest),Rural,0.0,0.0,1.0,0.0,0.32462502
92,120311007716.0,2005,Sumatra,0.0,0.0,0.0,0,Male,Senior secondary,6,0.33333334,0.0,0.5,0.0,0.0,0.0,0.16666667,0.0,0.0,0.16666667,0.0,0.0,Quintile 1 (poorest),Rural,1.0,1.0,0.0,1.0,0.2810084
93,120311007716.0,2006,Sumatra,0.0,0.0,0.0,1,Male,Junior secondary,6,0.16666667,0.0,0.6666667,0.0,0.0,0.0,0.16666667,0.0,0.0,0.16666667,0.0,0.0,Quintile 1 (poorest),Rural,1.0,0.0,1.0,1.0,0.38882414
94,120503000601.0,2005,Sumatra,0.0,0.0,0.0,0,Female,Primary,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Quintile 5 (richest),Rural,0.0,1.0,0.0,0.0,0.22170222
95,120503000601.0,2006,Sumatra,0.0,0.0,0.0,0,Female,No education completed,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Quintile 5 (richest),Rural,0.0,0.0,1.0,0.0,0.3128018
96,120503000602.0,2005,Sumatra,0.0,0.0,0.0,0,Male,Junior secondary,2,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,Quintile 4,Rural,0.0,1.0,0.0,0.0,0.15381308
97,120503000602.0,2006,Sumatra,0.0,0.0,0.0,0,Male,Junior secondary,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,Quintile 4,Rural,0.0,0.0,1.0,0.0,0.19573276
98,120503000603.0,2005,Sumatra,0.0,0.0,0.0,0,Male,Primary,5,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.2,Quintile 3,Rural,1.0,1.0,0.0,1.0,0.20886327
99,120503000603.0,2006,Sumatra,0.0,0.0,0.0,1,Male,Junior secondary,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,Quintile 4,Rural,1.0,0.0,1.0,1.0,0.17439611
100,120503000604.0,2005,Sumatra,0.0,0.0,0.0,0,Male,Senior secondary,5,0.0,0.4,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,Quintile 3,Rural,1.0,1.0,0.0,1.0,0.1548573
101,120503000604.0,2006,Sumatra,0.0,0.0,0.0,1,Male,Primary,4,0.0,0.25,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.25,0.0,Quintile 3,Rural,1.0,0.0,1.0,1.0,0.3116574
102,120503000606.0,2005,Sumatra,0.0,0.0,0.0,0,Male,Senior secondary,9,0.11111111,0.22222222,0.33333334,0.11111111,0.11111111,0.0,0.11111111,0.0,0.0,0.11111111,0.0,0.0,Quintile 2,Rural,1.0,1.0,0.0,1.0,0.13777131
103,120503000606.0,2006,Sumatra,0.0,0.0,0.0,1,Male,Senior secondary,9,0.11111111,0.11111111,0.22222222,0.22222222,0.11111111,0.11111111,0.11111111,0.0,0.0,0.11111111,0.0,0.0,Quintile 2,Rural,1.0,0.0,1.0,1.0,0.1360297
104,120503000607.0,2005,Sumatra,0.0,0.0,0.0,0,Female,No education completed,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Quintile 5 (richest),Rural,0.0,1.0,0.0,0.0,0.3128018
105,120503000607.0,2006,Sumatra,0.0,0.0,0.0,0,Female,No education completed,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Quintile 5 (richest),Rural,0.0,0.0,1.0,0.0,0.3128018
